turn,player_move,player_result,bot_move,bot_result
1,f1,Miss,F10,Miss
2,h2,Miss,G2,Hit
3,g3,Miss,G3,Miss
4,h3,Hit,H2,Miss
5,h4,Miss,F2,Miss
6,h1,Miss,J6,Miss
